Title,Price,Bedrooms,Area,Link
CONDO QUALITY LUXURY APARTMENT LIVING AT EXPANSIVE TWO BED W/OUTDOORS!,4430,2,1320ft2,https://boston.craigslist.org/gbs/fee/d/condo-quality-luxury/6450881448.html
1 Bd Split on Westland Ave. FENWAY  Near BERKLEE NEU WIT MCPHS,2600,1,,https://boston.craigslist.org/gbs/fee/d/1-bd-split-on-westland-ave/6453674441.html
Prime North End Location,2400,1,,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6444655184.html
Studio on Westland Ave.Fenway Mins to NEU,1935,,,https://boston.craigslist.org/gbs/fee/d/studio-on-westland-avefenway/6453674395.html
1/2 FEE AND 1/2 MO FREE AT THIS BEAUTIFUL CAMBRIDGE LUX PROPERTY!!!,3215,2,1152ft2,https://boston.craigslist.org/gbs/fee/d/1-2-fee-and-1-2-mo-free-at/6450880597.html
4 Bd on Chester St ALLSTON Mins to BU,4900,4,1200ft2,https://boston.craigslist.org/gbs/fee/d/4-bd-on-chester-st-allston/6453674344.html
"LOCATION, LOCATION, LOCATION!!! FANTASTIC 1 BED IN THE BELLEVUE!!!",2375,1,550ft2,https://boston.craigslist.org/gbs/fee/d/location-location-location/6456812545.html
Brainerd Rd ALLSTON 2 Bed Mins to Downtown,3200,2,,https://boston.craigslist.org/gbs/fee/d/brainerd-rd-allston-2-bed/6453664095.html
Prime Chinatown Location- NO BROKER FEE!,2100,1,,https://boston.craigslist.org/gbs/nfb/d/prime-chinatown-location-no/6444758650.html
Nice Allston 2 Bed in Allston,2500,2,850ft2,https://boston.craigslist.org/gbs/fee/d/nice-allston-2-bed-in-allston/6453663932.html
4 Bed on Highgate St ALLSTON Near BU,3600,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-highgate-st-allston/6453646343.html
IMPOSSIBLE TO BEAT SPACE AND STYLE IN THIS EXPANSIVE BOSTON COMPLEX!!!,2215,,650ft2,https://boston.craigslist.org/gbs/fee/d/impossible-to-beat-space-and/6459177340.html
Wonderfully Updated Studio in Seaport District,2896,,475ft2,https://boston.craigslist.org/gbs/fee/d/wonderfully-updated-studio-in/6433161409.html
4 Bed on Highgate St ALLSTON Near BU,3600,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-highgate-st-allston/6453646365.html
1 Bed on Commonwealth Ave ALLSTON  Right on the Green Line!!,1550,1,,https://boston.craigslist.org/gbs/fee/d/1-bed-on-commonwealth-ave/6453645737.html
ENJOY YOUR PRIVATE ROOF DECK OFF PENTHOUSE WORCESTER SQUARE 2 BED!!!,3950,2,1060ft2,https://boston.craigslist.org/gbs/fee/d/enjoy-your-private-roof-deck/6456518125.html
4 Bd on Farrington Ave Allston Mins to Downtown,4000,4,1700ft2,https://boston.craigslist.org/gbs/fee/d/4-bd-on-farrington-ave/6453480845.html
Spacious Back Bay 1 Bed Close to MIT / BU / BUMC,2650,1,,https://boston.craigslist.org/gbs/fee/d/spacious-back-bay-1-bed-close/6453438634.html
3 Bd on Commonwealth Ave ALLSTON,2850,3,,https://boston.craigslist.org/gbs/fee/d/3-bd-on-commonwealth-ave/6453448693.html
Prime North End Location,1650,,,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6438757545.html
WONDERFUL Studio on Burbank St. FENWAY BERKLEE BOCO NEU WIT,1700,,,https://boston.craigslist.org/gbs/fee/d/wonderful-studio-on-burbank/6453327586.html
Beautiful North End 1 Bedroom- AVAILABLE Jan 1/Feb 1,1900,1,465ft2,https://boston.craigslist.org/gbs/fee/d/beautiful-north-end-1-bedroom/6435786203.html
"4 Bd on Parker St., 2 Bath",4400,4,,https://boston.craigslist.org/gbs/fee/d/4-bd-on-parker-st-2-bath/6464826149.html
Brookline Coolidge Corner...     Walk -2- LMA,1495,1,,https://boston.craigslist.org/gbs/nfb/d/brookline-coolidge-corner/6464824208.html
Wonderfully Updated Theater District 1 Bedroom- NO BROKER FEE!,3756,1,822ft2,https://boston.craigslist.org/gbs/nfb/d/wonderfully-updated-theater/6448213052.html
Chestnut Hill 3 Bed Manet Rd Mins to BC,4200,3,,https://boston.craigslist.org/gbs/fee/d/chestnut-hill-3-bed-manet-rd/6439674428.html
Perfect 2 Bedroom/2 Bath in Theater District- NO BROKER FEE!,4221,2,1089ft2,https://boston.craigslist.org/gbs/nfb/d/perfect-2-bedroom-2-bath-in/6448214250.html
AFFORDABLE 4 BED 2 BATH IN ALLSTON COMMUTING IS EASY AND FAST,3600,4,,https://boston.craigslist.org/gbs/fee/d/affordable-4-bed-2-bath-in/6464825967.html
